日期,代码,名称,换手率,成交额,流通市值,首次封板时间,最后封板时间,涨跌幅,炸板次数,是否炸板,封板资金,所属行业,涨停原因类别
20250924,603726,朗迪集团,9.215475082397461,395044480,4412631118.0,093300,105242,9.990792274475098,1,是,,家电行业,
20250924,600172,黄河旋风,9.938299179077148,659630064,6687580130.0,093320,101229,10.084033966064453,2,是,,非金属材,
20250924,002490,山东墨龙,8.058992385864258,265494511,3326173080.0,093336,093336,10.035842895507812,0,否,,专用设备,
20250924,001330,博纳影业,4.1292829513549805,283815248,7000249452.030001,093339,093339,10.050251007080078,0,否,,文化传媒,
20250924,600400,红豆股份,11.648427963256836,966222960,8775954193.16,093517,093917,10.05747127532959,1,是,,纺织服装,
20250924,002029,七 匹 狼,6.503328323364258,359782400,5655950651.5,093518,093518,9.961190223693848,0,否,,纺织服装,
20250924,002156,通富微电,6.304114818572998,3542582768,57238297813.84,093606,093606,10.00291633605957,0,否,,半导体,
20250924,603809,豪能股份,7.0350117683410645,989990320,14256238837.659998,093743,094701,10.019906997680664,4,是,,汽车零部,
20250924,300270,中威电子,12.929333686828613,345780336,2818046678.4,093851,093851,20.0,0,否,,计算机设,
20250924,002295,精艺股份,5.617678642272949,167642318,3071107380.0,093906,093906,10.044842720031738,0,否,,有色金属,
20250924,920145,恒合股份,16.520986557006836,247983707,1572194424.9999998,094118,094118,29.97987937927246,0,否,,仪器仪表,
20250924,688233,神工股份,12.395318031311035,898924768,7580308309.36,094126,100053,20.005393981933594,1,是,,半导体,
